,City,Latitude,Longitude,MaxTemp,Cloudiness,Humidity,WindSpeed,Date
0,Port Elizabeth,-33.918,25.5701,295.15,75,64,4.12,ZA
1,Adrar,20.5022,-10.0711,293.87,0,13,4.0,MR
2,Fairlie,55.756,-4.8556,278.15,50,87,3.13,GB
3,Yellowknife,62.456,-114.3525,255.37,90,60,3.09,CA
4,Arraial do Cabo,-22.9661,-42.0278,300.15,0,89,3.09,BR
5,Cherskiy,68.75,161.3,251.93,100,96,7.6,RU
6,Saskylakh,71.9167,114.0833,249.69,42,98,2.11,RU
7,Valparai,10.3667,76.9667,299.15,40,89,1.03,IN
8,Vaini,-21.2,-175.2,298.15,40,88,4.12,TO
9,Sudak,44.85,34.9667,278.05,100,79,1.57,UA
10,Boende,-0.2167,20.8667,296.15,95,96,0.62,CD
11,Faanui,-16.4833,-151.75,301.41,62,72,6.53,PF
12,Ushuaia,-54.8,-68.3,281.15,75,57,14.92,AR
13,Zhangaözen,43.3,52.8,269.83,71,55,3.77,KZ
14,Ryōtsu-minato,38.0833,138.4333,281.15,75,93,8.23,JP
15,Souillac,-20.5167,57.5167,300.15,40,83,3.09,MU
16,Bandarbeyla,9.4942,50.8122,298.54,52,81,4.19,SO
17,San Patricio,28.017,-97.5169,299.15,75,65,12.86,US
18,Leningradskiy,69.3833,178.4167,266.44,100,79,2.22,RU
19,Chissamba,-12.1667,17.3333,290.12,96,92,0.79,AO
20,Narón,43.5167,-8.1528,285.93,75,82,3.6,ES
21,Tingo María,-9.2895,-76.0088,299.63,89,83,1.1,PE
22,Padang,-0.9492,100.3543,298.3,90,85,1.85,ID
23,Mahébourg,-20.4081,57.7,300.15,40,83,3.09,MU
24,Kaitangata,-46.2817,169.8464,288.71,1,71,1.34,NZ
25,Saint-Philippe,-21.3585,55.7679,297.15,0,78,3.09,RE
26,Rikitea,-23.1203,-134.9692,300.04,39,74,3.78,PF
27,Sekoma,-24.4,23.8833,295.32,0,46,3.63,BW
28,Atuona,-9.8,-139.0333,299.36,49,62,2.1,PF
29,Nchelenge,-9.3451,28.734,293.21,84,85,2.5,ZM
30,Mount Gambier,-37.8333,140.7667,278.15,40,93,2.57,AU
31,Nome,64.5011,-165.4064,260.15,75,66,10.29,US
32,Haderslev,55.2538,9.4898,276.15,75,93,3.09,DK
33,Norman Wells,65.282,-126.8329,252.15,75,71,1.53,CA
